api_calls,auxiliary_columns,brotli_base_bytes,brotli_compressed_bytes,brotli_savings_bytes,brotli_savings_ratio,candidate_id,config_name,dataset_id,group,gzip_base_bytes,gzip_compressed_bytes,gzip_savings_bytes,gzip_savings_ratio,input_tokens,lz4_base_bytes,lz4_compressed_bytes,lz4_savings_bytes,lz4_savings_ratio,output_tokens,reason,reconstruction_latency_ms,rows,selected,snappy_base_bytes,snappy_compressed_bytes,snappy_savings_bytes,snappy_savings_ratio,status,strategy,tool_calls,total_tokens,valid,zstd_base_bytes,zstd_compressed_bytes,zstd_savings_bytes,zstd_savings_ratio
0,,,,,,,20231101.ab,wikimedia/wikipedia,heuristic,,,,,0,,,,,0,no candidates were produced,,6152,False,,,,,skipped,heuristic,0,0,False,,,,
1,,,,,,,20231101.ab,wikimedia/wikipedia,agent,,,,,0,,,,,0,"ValidationError: 5 validation errors for CandidateBatch
candidates.0
  Value error, __virtual_row_id is reserved [type=value_error, input_value={'id': 'url_from_title', ...""text"" FROM compressed'}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.12/v/value_error
candidates.1
  Value error, __virtual_row_id is reserved [type=value_error, input_value={'id': 'title_from_url', ...""text"" FROM compressed'}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.12/v/value_error
candidates.2
  Value error, __virtual_row_id is reserved [type=value_error, input_value={'id': 'url_prefix', 'sum...""text"" FROM compressed'}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.12/v/value_error
candidates.3
  Value error, __virtual_row_id is reserved [type=value_error, input_value={'id': 'text_after_title'...""text"" FROM compressed'}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.12/v/value_error
candidates.4
  Value error, __virtual_row_id is reserved [type=value_error, input_value={'id': 'url_and_text_from...""text"" FROM compressed'}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.12/v/value_error",,6152,False,,,,,error,single,0,0,False,,,,
2,1,598249,563172,35077,0.05863277665319959,url_from_title,20231101.ab,wikimedia/wikipedia,agent,717731,674040,43691,0.060873781402781824,15495,1193443,1109474,83969,0.07035861788120588,1056,,10.8343332,6152,True,1243983,1168322,75661,0.06082157071278305,valid,two_stage,0,16551,True,794286,748433,45853,0.05772857635662721
6,0,,,,,url_from_title,20231101.ab,wikimedia/wikipedia,agent,,,,,49606,,,,,1935,reconstruction differs in 1 cell(s),,6152,False,,,,,invalid,tool_loop,6,51541,False,,,,
,,,,,,,20231101.af,wikimedia/wikipedia,dataset,,,,,,,,,,,dataset is not local and is outside the capped bootstrap allowlist,,0,False,,,,,skipped,,,,False,,,,
,,,,,,,20231101.azb,wikimedia/wikipedia,dataset,,,,,,,,,,,dataset is not local and is outside the capped bootstrap allowlist,,0,False,,,,,skipped,,,,False,,,,
,,,,,,,20231101.bg,wikimedia/wikipedia,dataset,,,,,,,,,,,dataset is not local and is outside the capped bootstrap allowlist,,0,False,,,,,skipped,,,,False,,,,
,,,,,,,20231101.ady,wikimedia/wikipedia,dataset,,,,,,,,,,,dataset is not local and is outside the capped bootstrap allowlist,,0,False,,,,,skipped,,,,False,,,,
,,,,,,,20231101.ar,wikimedia/wikipedia,dataset,,,,,,,,,,,dataset is not local and is outside the capped bootstrap allowlist,,0,False,,,,,skipped,,,,False,,,,
,,,,,,,20231101.de,wikimedia/wikipedia,dataset,,,,,,,,,,,dataset is not local and is outside the capped bootstrap allowlist,,0,False,,,,,skipped,,,,False,,,,
,,,,,,,20231101.ceb,wikimedia/wikipedia,dataset,,,,,,,,,,,dataset is not local and is outside the capped bootstrap allowlist,,0,False,,,,,skipped,,,,False,,,,
,,,,,,,20231101.nl,wikimedia/wikipedia,dataset,,,,,,,,,,,dataset is not local and is outside the capped bootstrap allowlist,,0,False,,,,,skipped,,,,False,,,,
