api_calls,auxiliary_columns,brotli_base_bytes,brotli_compressed_bytes,brotli_savings_bytes,brotli_savings_ratio,candidate_id,config_name,dataset_id,group,gzip_base_bytes,gzip_compressed_bytes,gzip_savings_bytes,gzip_savings_ratio,input_tokens,lz4_base_bytes,lz4_compressed_bytes,lz4_savings_bytes,lz4_savings_ratio,output_tokens,reason,reconstruction_latency_ms,rows,selected,snappy_base_bytes,snappy_compressed_bytes,snappy_savings_bytes,snappy_savings_ratio,status,strategy,tool_calls,total_tokens,valid,zstd_base_bytes,zstd_compressed_bytes,zstd_savings_bytes,zstd_savings_ratio
2,2,30757756,30589678,168078,0.0054645729031727805,title_from_url_decode,20231101.bg,wikimedia/wikipedia,agent,37900911,37714603,186308,0.004915660206690019,14509,66749827,66457652,292175,0.004377164902614654,5584,,192.0409668,20000,False,68833228,68542664,290564,0.004221275224808576,valid,two_stage,0,20093,True,43050987,42842032,208955,0.0048536634014918175
8,,,,,,,20231101.bg,wikimedia/wikipedia,agent,,,,,70940,,,,,1634,ValueError: tool loop ended without submit_candidates,,20000,False,,,,,error,tool_loop,8,72574,False,,,,
,,171090,171090,0,0.0,original,20231101.ady,wikimedia/wikipedia,original,203972,203972,0,0.0,,341799,341799,0,0.0,,,,706,False,345621,345621,0,0.0,valid,original,,,True,224900,224900,0,0.0
0,0,,,,,manual_wiki_1,20231101.ady,wikimedia/wikipedia,manual,,,,,0,,,,,0,reconstruction differs in 4 cell(s),,706,False,,,,,invalid,manual,0,0,False,,,,
0,2,171090,169450,1640,0.009585598223157403,manual_wiki_2,20231101.ady,wikimedia/wikipedia,manual,203972,202706,1266,0.006206734257643206,0,341799,338477,3322,0.009719162431721568,0,,1.9897667,706,False,345621,343667,1954,0.005653591650970282,valid,manual,0,0,True,224900,223328,1572,0.006989773232547799
0,2,,,,,manual_wiki_3,20231101.ady,wikimedia/wikipedia,manual,,,,,0,,,,,0,reconstruction differs in 4 cell(s),,706,False,,,,,invalid,manual,0,0,False,,,,
0,0,171090,164754,6336,0.037033140452393476,manual_wiki_4,20231101.ady,wikimedia/wikipedia,manual,203972,197387,6585,0.03228384288039535,0,341799,331256,10543,0.030845613942697317,0,,1.5305792000000003,706,True,345621,335769,9852,0.028505212356888035,valid,manual,0,0,True,224900,217618,7282,0.032378835037794575
0,,,,,,,20231101.ady,wikimedia/wikipedia,heuristic,,,,,0,,,,,0,no candidates were produced,,706,False,,,,,skipped,heuristic,0,0,False,,,,
1,2,171090,166364,4726,0.02762288853819627,url_from_title,20231101.ady,wikimedia/wikipedia,agent,203972,199375,4597,0.022537407095091482,8367,341799,326955,14844,0.043429032852641464,3290,,1.4356959000000002,706,False,345621,334343,11278,0.03263111905815908,valid,single,0,11657,True,224900,217251,7649,0.03401067140951534
1,2,171090,167714,3376,0.019732304634987433,title_from_url,20231101.ady,wikimedia/wikipedia,agent,203972,200385,3587,0.017585747063322416,8367,341799,334201,7598,0.022229438939259622,3290,,1.5393127000000002,706,False,345621,338715,6906,0.019981424739816157,valid,single,0,11657,True,224900,220585,4315,0.019186305024455313
