dataset_id,config_name,dataset_label,rows,codec,strategy,strategy_label,candidate_id,status,fallback_to_original,original_bytes,compressed_bytes,size_ratio,savings_bytes,savings_ratio,reason
wikimedia/wikipedia,20231101.ceb,20231101.ceb,20000,snappy,heuristic,Algorithmic auto-prefix/suffix,identity,skipped,True,1776099,1776099,1.0,0,0.0,no candidates were produced
wikimedia/wikipedia,20231101.ceb,20231101.ceb,20000,snappy,manual,Historical hand-written,manual_wiki_4,valid,False,1776099,1537632,0.8657355248778362,238467,0.1342644751221638,
wikimedia/wikipedia,20231101.ceb,20231101.ceb,20000,snappy,single,Agent single,url_from_title,valid,False,1776099,1506500,0.8482072226829698,269599,0.1517927773170302,
wikimedia/wikipedia,20231101.ceb,20231101.ceb,20000,snappy,two_stage,Agent two-stage,url_title_encode,valid,False,1776099,1506425,0.848164995307131,269674,0.15183500469286904,
wikimedia/wikipedia,20231101.ceb,20231101.ceb,20000,snappy,tool_loop,Agent tool-loop,url_title_path,valid,False,1776099,1511405,0.8509688930628304,264694,0.14903110693716962,
HuggingFaceFW/fineweb,sample-10BT,sample-10BT,5000,snappy,original,Original,identity,original,False,10003818,10003818,1.0,0,0.0,
HuggingFaceFW/fineweb,sample-10BT,sample-10BT,5000,snappy,heuristic,Algorithmic auto-prefix/suffix,identity,completed,True,10003818,10003818,1.0,0,0.0,"no candidate passed lossless, size-positive full validation"
HuggingFaceFW/fineweb,sample-10BT,sample-10BT,5000,snappy,manual,Historical hand-written,manual_fineweb_5,valid,False,10003818,9995066,0.9991251340238297,8752,0.0008748659761702982,
HuggingFaceFW/fineweb,sample-10BT,sample-10BT,5000,snappy,single,Agent single,identity,completed,True,10003818,10003818,1.0,0,0.0,"no candidate passed lossless, size-positive full validation"
HuggingFaceFW/fineweb,sample-10BT,sample-10BT,5000,snappy,two_stage,Agent two-stage,filepath_affix_language_en,valid,False,10003818,10001564,0.9997746860248757,2254,0.00022531397512429754,
HuggingFaceFW/fineweb,sample-10BT,sample-10BT,5000,snappy,tool_loop,Agent tool-loop,identity,error,True,10003818,10003818,1.0,0,0.0,ValueError: tool loop ended without submit_candidates
nhagar/fineweb_urls,,nhagar/fineweb_urls,5000,snappy,original,Original,identity,original,False,302568,302568,1.0,0,0.0,
nhagar/fineweb_urls,,nhagar/fineweb_urls,5000,snappy,heuristic,Algorithmic auto-prefix/suffix,heuristic_1_domain_from_0_url,valid,False,302568,264940,0.8756378731392612,37628,0.12436212686073875,
nhagar/fineweb_urls,,nhagar/fineweb_urls,5000,snappy,manual,Historical hand-written,manual_fineweb_url_3,valid,False,302568,260065,0.8595257925491129,42503,0.14047420745088707,
nhagar/fineweb_urls,,nhagar/fineweb_urls,5000,snappy,single,Agent single,domain_first_occurrence,valid,False,302568,264765,0.875059490759102,37803,0.12494050924089792,
nhagar/fineweb_urls,,nhagar/fineweb_urls,5000,snappy,two_stage,Agent two-stage,domain_last_two_labels,valid,False,302568,272431,0.9003959440522461,30137,0.0996040559477539,
nhagar/fineweb_urls,,nhagar/fineweb_urls,5000,snappy,tool_loop,Agent tool-loop,identity,error,True,302568,302568,1.0,0,0.0,ValueError: tool loop ended without submit_candidates
