api_calls,auxiliary_columns,brotli_base_bytes,brotli_compressed_bytes,brotli_savings_bytes,brotli_savings_ratio,candidate_id,config_name,dataset_id,group,gzip_base_bytes,gzip_compressed_bytes,gzip_savings_bytes,gzip_savings_ratio,input_tokens,lz4_base_bytes,lz4_compressed_bytes,lz4_savings_bytes,lz4_savings_ratio,output_tokens,reason,reconstruction_latency_ms,rows,selected,snappy_base_bytes,snappy_compressed_bytes,snappy_savings_bytes,snappy_savings_ratio,status,strategy,tool_calls,total_tokens,valid,zstd_base_bytes,zstd_compressed_bytes,zstd_savings_bytes,zstd_savings_ratio
2,4,598249,567395,30854,0.05157384299848391,url_encoded_title_id_int,20231101.ab,wikimedia/wikipedia,agent,717731,671145,46586,0.0649073260037535,15830,1193443,1110916,82527,0.06915034903216995,4855,,11.186866599999998,6152,True,1243983,1168760,75223,0.06046947586904323,valid,two_stage,0,20685,True,794286,755740,38546,0.048529119234129774
8,,,,,,,20231101.ab,wikimedia/wikipedia,agent,,,,,85677,,,,,2163,ValueError: tool loop ended without submit_candidates,,6152,False,,,,,error,tool_loop,8,87840,False,,,,
,,,,,,,20231101.af,wikimedia/wikipedia,dataset,,,,,,,,,,,dataset is not local and is outside the capped bootstrap allowlist,,0,False,,,,,skipped,,,,False,,,,
,,,,,,,20231101.azb,wikimedia/wikipedia,dataset,,,,,,,,,,,dataset is not local and is outside the capped bootstrap allowlist,,0,False,,,,,skipped,,,,False,,,,
,,,,,,,20231101.bg,wikimedia/wikipedia,dataset,,,,,,,,,,,dataset is not local and is outside the capped bootstrap allowlist,,0,False,,,,,skipped,,,,False,,,,
,,,,,,,20231101.ady,wikimedia/wikipedia,dataset,,,,,,,,,,,dataset is not local and is outside the capped bootstrap allowlist,,0,False,,,,,skipped,,,,False,,,,
,,,,,,,20231101.ar,wikimedia/wikipedia,dataset,,,,,,,,,,,dataset is not local and is outside the capped bootstrap allowlist,,0,False,,,,,skipped,,,,False,,,,
,,,,,,,20231101.de,wikimedia/wikipedia,dataset,,,,,,,,,,,dataset is not local and is outside the capped bootstrap allowlist,,0,False,,,,,skipped,,,,False,,,,
,,,,,,,20231101.ceb,wikimedia/wikipedia,dataset,,,,,,,,,,,dataset is not local and is outside the capped bootstrap allowlist,,0,False,,,,,skipped,,,,False,,,,
,,,,,,,20231101.nl,wikimedia/wikipedia,dataset,,,,,,,,,,,dataset is not local and is outside the capped bootstrap allowlist,,0,False,,,,,skipped,,,,False,,,,
